Type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_time,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,7045,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,152992209,0,83,0,5,0,"[0,0,-3,-14,-4]"
CSI_DATA,7046,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153042878,0,83,0,5,0,"[0,0,-10,10,-11]"
CSI_DATA,7047,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153047798,0,83,0,5,0,"[0,0,13,4,15]"
CSI_DATA,7048,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153052108,0,83,0,5,0,"[0,0,-7,12,-8]"
CSI_DATA,7049,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153055896,0,83,0,5,0,"[0,0,4,-13,4]"
CSI_DATA,7050,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153059739,0,83,0,5,0,"[0,0,-8,-12,-9]"
CSI_DATA,7051,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153063584,0,83,0,5,0,"[0,0,-14,-3,-16]"
CSI_DATA,7052,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153073567,0,83,0,5,0,"[0,0,12,-7,13]"
CSI_DATA,7053,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153077393,0,83,0,5,0,"[0,0,-8,-11,-10]"
CSI_DATA,7054,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153081996,0,83,0,5,0,"[0,0,12,2,14]"
CSI_DATA,7055,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153091976,0,83,0,5,0,"[0,0,-15,-6,-17]"
CSI_DATA,7056,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153127019,0,83,0,5,0,"[0,0,-1,14,0]"
CSI_DATA,7057,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153137146,0,83,0,5,0,"[0,0,8,-12,9]"
